2014-12-11 03:33:41.784000:precionada la tecla número 2
2014-12-11 03:33:42.296000:precionada la tecla número 3
2014-12-11 03:33:42.824000:precionada la tecla número 2
2014-12-11 03:33:43.320000:precionada la tecla número 3
2014-12-11 03:33:43.880000:precionada la tecla número 2
2014-12-11 03:33:44.248000:precionada la tecla número 3
2014-12-11 03:33:44.488000:precionada la tecla número 0
2014-12-11 03:33:45.963000:cierre por escape
2014-12-11 03:33:49.851000:iniciado modo de prueba
2014-12-11 03:33:49.871000:precionada la tecla número 2
2014-12-11 03:33:50.286000:precionada la tecla número 3
2014-12-11 03:33:50.558000:precionada la tecla número 1
2014-12-11 03:33:50.878000:precionada la tecla número 0
2014-12-11 03:33:51.966000:precionada la tecla número 2
2014-12-11 03:33:52.158000:precionada la tecla número 2
2014-12-11 03:33:52.942000:precionada la tecla número 0
2014-12-11 03:33:53.054000:precionada la tecla número 0
2014-12-11 03:33:53.342000:precionada la tecla número 0
2014-12-11 03:33:53.566000:precionada la tecla número 1
2014-12-11 03:33:53.982000:precionada la tecla número 0
2014-12-11 03:33:54.110000:precionada la tecla número 0
2014-12-11 03:33:54.238000:precionada la tecla número 0
2014-12-11 03:33:54.382000:precionada la tecla número 0
2014-12-11 03:33:54.510000:precionada la tecla número 1
2014-12-11 03:33:55.534000:precionada la tecla número 0
2014-12-11 03:33:55.902000:precionada la tecla número 0
2014-12-11 03:33:56.030000:precionada la tecla número 1
2014-12-11 03:33:56.302000:precionada la tecla número 1
2014-12-11 03:33:56.526000:precionada la tecla número 0
2014-12-11 03:33:56.638000:precionada la tecla número 0
2014-12-11 03:33:56.734000:precionada la tecla número 0
2014-12-11 03:33:56.846000:precionada la tecla número 0
2014-12-11 03:33:56.990000:precionada la tecla número 1
2014-12-11 03:34:07.009000:cierre por escape
2014-12-11 03:34:19.004000:iniciado modo de grabación de la canción: songs/b.mp3
2014-12-11 03:34:28.076000:precionada la tecla número 0
2014-12-11 03:34:32.172000:precionada la tecla número 0
2014-12-11 03:34:32.652000:precionada la tecla número 2
2014-12-11 03:34:33.148000:precionada la tecla número 2
2014-12-11 03:34:33.660000:precionada la tecla número 2
2014-12-11 03:34:34.140000:precionada la tecla número 2
2014-12-11 03:34:34.636000:precionada la tecla número 2
2014-12-11 03:34:35.164000:precionada la tecla número 2
2014-12-11 03:34:35.660000:precionada la tecla número 0
2014-12-11 03:34:36.172000:precionada la tecla número 2
